v_ref (V),irrad (G),temp (C),current (A)
0.1,100.0,5.0,5.31
0.1,100.0,10.0,5.21
0.1,100.0,15.0,5.11
0.1,100.0,20.0,5.01
0.1,100.0,25.0,4.91
0.1,100.0,30.0,4.8
0.1,100.0,35.0,4.7
0.1,100.0,40.0,4.59
0.1,100.0,45.0,4.49
0.1,100.0,50.0,4.38
0.1,100.0,55.0,4.27
0.1,100.0,60.0,4.16
0.1,100.0,65.0,4.05
0.1,100.0,70.0,3.94
0.1,100.0,75.0,3.83
0.1,100.0,80.0,3.72
0.1,150.0,0.001,5.77
0.1,150.0,5.0,5.66
0.1,150.0,10.0,5.54
0.1,150.0,15.0,5.43
0.1,150.0,20.0,5.32
0.1,150.0,25.0,5.2
0.1,150.0,30.0,5.09
0.1,150.0,35.0,4.97
0.1,150.0,40.0,4.86
0.1,150.0,45.0,4.75
0.1,150.0,50.0,4.63
0.1,150.0,55.0,4.52
0.1,150.0,60.0,4.41
0.1,150.0,65.0,4.29
0.1,150.0,70.0,4.18
0.1,150.0,75.0,4.07
0.1,150.0,80.0,3.95
0.1,200.0,0.001,5.91
0.1,200.0,5.0,5.8
0.1,200.0,10.0,5.69
0.1,200.0,15.0,5.57
0.1,200.0,20.0,5.46
0.1,200.0,25.0,5.34
0.1,200.0,30.0,5.23
0.1,200.0,35.0,5.11
0.1,200.0,40.0,5.0
0.1,200.0,45.0,4.88
0.1,200.0,50.0,4.77
0.1,200.0,55.0,4.65
0.1,200.0,60.0,4.54
0.1,200.0,65.0,4.43
0.1,200.0,70.0,4.31
0.1,200.0,75.0,4.2
0.1,200.0,80.0,4.08
0.1,250.0,0.001,6.01
0.1,250.0,5.0,5.89
0.1,250.0,10.0,5.78
0.1,250.0,15.0,5.66
0.1,250.0,20.0,5.55
0.1,250.0,25.0,5.43
0.1,250.0,30.0,5.32
0.1,250.0,35.0,5.2
0.1,250.0,40.0,5.09
0.1,250.0,45.0,4.98
0.1,250.0,50.0,4.86
0.1,250.0,55.0,4.75
0.1,250.0,60.0,4.63
0.1,250.0,65.0,4.52
0.1,250.0,70.0,4.4
0.1,250.0,75.0,4.29
0.1,250.0,80.0,4.18
0.1,300.0,0.001,6.07
0.1,300.0,5.0,5.96
0.1,300.0,10.0,5.84
0.1,300.0,15.0,5.73
0.1,300.0,20.0,5.61
0.1,300.0,25.0,5.5
0.1,300.0,30.0,5.39
